Email,Address,Avatar,Avg. Session Length,Time on App,Time on Website,Length of Membership,Yearly Amount Spent,Timestamp,Day_of_Week,App_Response_Time,Website_Response_Time
afry@ford.biz,"399 Jeremy Skyway Suite 377
North Keithville, IL 55074",PaleTurquoise,32.291756100263015,12.190474287309026,36.15246208860067,3.781823039343296,494.55186108657256,2022-04-17,Sunday,3.126282963685808,3.3228040030730375
amandadean@gmail.com,"66880 Mckinney Hills
Matthewchester, MH 88386",DimGray,32.0637746203137,10.719149740628396,37.71250863884946,3.004742535925674,378.3309069068038,2022-04-18,Monday,4.829343394496983,5.135719562300486
brenda68@hotmail.com,"0377 Reed Via Apt. 169
Alexandershire, MO 43498",Moccasin,33.15569970295208,12.931550271647987,38.16643555663392,3.854473855602962,570.451725912857,2022-04-19,Tuesday,4.877323651234208,4.80279697823474
bakerdrew@gmail.com,"39637 Griffin Plain Suite 691
New Deborahview, MP 73870-3773",Chartreuse,33.35687434475742,13.45212895943564,38.5030088492416,3.318822278930894,549.0082269346927,2022-04-20,Wednesday,3.577309362255186,3.9285221554371526
connorlambert@yahoo.com,"931 Andrews Heights
South Shelley, NV 21850",Khaki,31.85307480174657,12.149375491578276,37.32533422381935,3.361814624383144,459.285123462352,2022-04-21,Thursday,0.5894926037370721,1.5485860338703128
tknapp@yahoo.com,"15810 Karl Plain
Davidville, TX 64072",MediumSpringGreen,32.01230076824544,12.178331333996288,37.71598617762173,3.722561172893833,492.94505306595823,2022-04-22,Friday,0.562913859748565,1.857455749115811
garcialisa@yahoo.com,"46079 Gonzalez Loaf
Williamside, PA 72265",LemonChiffon,32.388451625505326,11.010482132400076,38.415041581538325,3.5435470501829984,424.7626355099111,2022-04-23,Saturday,5.29688970455758,4.032860181981847
josephallen@hotmail.com,"3144 Jamie Rest
Maxwellville, NC 93749-1190",PeachPuff,32.65318145878372,11.60253219348616,37.3096887708795,2.789461516374708,422.42677587650905,2022-04-24,Sunday,1.8043546497045457,4.96355182312609
hailey18@yahoo.com,"08079 Thompson Village
North Lukeborough, AL 16825",Lime,32.93133644189654,12.732211588456623,35.60082054911087,5.4859767341605234,642.1015787311585,2022-04-25,Monday,5.298177979748965,3.662800769714163
whess@hotmail.com,"29282 Alexander Street
South Andrewmouth, MS 22041",Tomato,33.235606500693855,11.223368888365105,37.69230086128235,2.59418972057778,413.3717831104521,2022-04-26,Tuesday,4.926237647568703,0.8386370086732461
josesims@hunter.com,"8830 Debra Loaf Apt. 341
Drakeville, ME 22340",SlateBlue,33.92579489547876,12.01102187657459,36.701052315547926,2.753424168758119,479.23109291159307,2022-04-27,Wednesday,0.30717676440957054,0.8044999360133444
dtaylor@webb.com,"18219 Jackson Well
Fosterton, MP 85302",Orange,33.05926409135838,11.725910097840954,35.9990993016087,5.004820577490747,593.0772413447512,2022-04-28,Thursday,1.8251245758406804,0.24146327919881277
